Número,Mov,Facção,Transporte,Nome Transp,Unitário,Desc Período OP,Ord Setor,Ficha,Local Produto,Tipo OP,Desc Tipo OP,Fac Operadores,Família,Desc Família,Grupo Família,Desc Grupo Família,Grupo Fac,Desc Grupo Fac,Grupo Setor,Desc Grupo Setor,Pedidos Prog,Nota Remessa,Descrição do Local,Retorno das Peças,Dt Limite,Dt Entrega,Marca,Desc Marca,Descrição Facção,Código,Produto Descrição,Parte,Desc Parte,Estoque,Etiqueta,Desc Etiqueta,Cor,Desc Cor,Tamanho,Ord Tam,Qtde Original,Qtde,Qtde Segunda,Qtde Incompleta,Qtde Faltante,Data Saída,Data Retorno,Fluxo,Desc Fluxo,Setor,Obs,Desc Setor,Tabela Preço,UN,Produto Status,Cliente Ped,Ped Cliente,RIS,Pedido,Pedido Codcli,Dt Fatura Ped,Ped Período,Ped Desc Período,Cliente Telefone,Cliente Consumos,Observação OF2,Dt Prevista,Grupo Cli,Desc Grupo Cli,Dt Prev Mov,Dias Fatura,Dias Retorno,Dias Parado,Qtde Pend,Preço Custo,Preço,Tempo,Tempo Total,Perc,Tab Cli Preço,Preço Padrão,Período OP,Coleção,Desc Coleção,Linha,Desc Linha,Soma Peças,Reprocesso,Opções,Produto Custo,Observação,Descrição2,Peso Talhado,Índice,Grupo Prod,Desc Grupo Prod,Comp1,Comp2,Preço Produto,Entrega,Qtde Estampa,Preço Inv,Cidade,Endereço,Número End,Bairro,Fantasia,Dias,Dt Inicio,Dt Final,Tab Observação,Posse,Setor Reprocesso,Desc Reprocesso,Prog Setor,Dias Semana,Codigo2,Preço OP,Cliente Cnpj,Local
076521,0,834,,,0,AMOSTRA,0,10/07,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,149,SEM LICENÇA HERING,CONFECCOES ONEDA LTDA,13.16.00.0609,CALÇA / HKM183,CO,COR,N,HXI,HXI - HERING INVERNO 27,50,A DEFINIR,6,14,4,0,0,0,0,04/05/2026,5/4/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-134,134,4,,,0,0,0,0,0,A,H01,T54 - HERING KIDS O,05,CAIXA - LR,N,N,SSNN,0,,B28,0,0,B01,CALÇA (BOTTON),,,0,00/01/1900,0,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,04/05/2026,6/4/2026,,1,,,,0,,0,00.577.158/0001-29,
076661,0,834,,,0,AMOSTRA,0,19/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0152,TOP CURTO / IV27VGM008,CO,COR,N,58F,58F - AW27 CENTAURO - INVERNO 27 - FUTEBOL,50,A DEFINIR,M,22,4,0,0,0,0,13/05/2026,5/13/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-125,125,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN,0,,B25,0,0,T00,TOP CURTO (TOP),"cust. altenativ patch TPU R$ 3,50","GS39252.DST R$:1,70 COM PROTEÇÃO",0,00/01/1900,1,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,13/05/2026,6/13/2026,,1,,,,0,,0,00.577.158/0001-29,
076662,0,834,,,0,AMOSTRA,0,19/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0153,TOP CURTO,CO,COR,N,58F,58F - AW27 CENTAURO - INVERNO 27 - FUTEBOL,50,A DEFINIR,M,22,4,0,0,0,0,13/05/2026,5/13/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-125,125,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN,0,,B25,0,0,T00,TOP CURTO (TOP),,,0,00/01/1900,2,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,13/05/2026,6/13/2026,,1,,,,0,,0,00.577.158/0001-29,
076667,0,834,,,0,AMOSTRA,0,19/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0135D,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,13/05/2026,5/13/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-125,125,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B25,0,0,T00,TOP CURTO (TOP),,"Frente R$:1,65 / Manga R$:1,65",0,00/01/1900,1,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,13/05/2026,6/13/2026,,1,,,,0,,0,00.577.158/0001-29,
076669,0,834,,,0,AMOSTRA,0,19/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0136G,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,13/05/2026,5/13/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-125,125,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B25,0,0,T00,TOP CURTO (TOP),,"Manga R$:1,65 /",0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,13/05/2026,6/13/2026,,1,,,,0,,0,00.577.158/0001-29,
076670,0,834,,,0,AMOSTRA,0,19/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0136H,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,13/05/2026,5/13/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-125,125,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B25,0,0,T00,TOP CURTO (TOP),,"Manga R$:1,65 / Frente GS39253.DST R$:2,30",0,00/01/1900,2,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,13/05/2026,6/13/2026,,1,,,,0,,0,00.577.158/0001-29,
076910,0,834,,,0,AMOSTRA,0,24/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0155,TOP CURTO,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,6/8/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-99,99,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B26,0,0,T00,TOP CURTO (TOP),,EST. FR 4 CORES / EST. COST. 3 CORES,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,7/8/2026,,1,,,,0,,0,00.577.158/0001-29,
076911,0,834,,,0,AMOSTRA,0,18/09,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0155A,TOP CURTO / I27OCF189,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,6/8/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-99,99,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B38,0,0,T00,TOP CURTO (TOP),,EST. FR 1 COR / EST. COST. 4 CORES,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,7/8/2026,,1,,,,0,,0,00.577.158/0001-29,
076912,0,834,,,0,AMOSTRA,0,24/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0155B,TOP CURTO / I27OCF189,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,6/8/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-99,99,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B26,0,0,T00,TOP CURTO (TOP),,EST. FR E COST 3 CORES CADA,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,7/8/2026,,1,,,,0,,0,00.577.158/0001-29,
076913,0,834,,,0,AMOSTRA,0,24/06,1 Ag F,0,OP PRODUÇÃO,0,000,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0156,TOP CURTO,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,6/8/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-99,99,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN,0,,B26,0,0,T00,TOP CURTO (TOP),,EST 1 COR,0,00/01/1900,2,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,7/8/2026,,1,,,,0,,0,00.577.158/0001-29,
